"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","final_cluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","cell_name"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell167"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell168"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell169"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell170"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell171"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell172"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell173"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell174"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell175"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell176"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell177"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell178"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell179"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell180"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell181"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell182"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell183"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell184"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell185"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell186"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell187"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell188"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell189"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell190"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell191"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell192"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell193"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell194"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell195"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell196"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell197"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell198"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell199"
